No;Kode;Kab/Kota;Tahun;Latitude;Longitude;Y;X1;X2;X3;X4;X5
138;3;KABUPATEN CIANJUR;2017;-6.822558;107.139542;11.41;10.1;7300;6.92;846258;58.28
139;4;KABUPATEN BANDUNG;2017;-7.012851;107.528627;7.36;3.92;9854;8.51;1584391;62.81
140;5;KABUPATEN GARUT;2017;-7.202988;107.885592;11.27;7.86;7270;7.28;1044137;62.92
141;6;KABUPATEN TASIKMALAYA;2017;-7.361212;108.112488;10.84;6.61;7250;7.12;762133;63.56
142;7;KABUPATEN CIAMIS;2017;-7.325788;108.3514;8.2;5.17;8658;7.59;602123;70.1
143;8;KABUPATEN KUNINGAN;2017;-6.976233;108.482982;13.27;7.94;8736;7.35;425700;57.69
144;9;KABUPATEN CIREBON;2017;-6.764507;108.478858;12.97;9.61;9650;6.61;880807;61.25
145;10;KABUPATEN MAJALENGKA;2017;-6.836531;108.227876;12.6;5.02;8833;6.9;569252;66.11
146;11;KABUPATEN SUMEDANG;2017;-6.861126;107.920102;10.53;7.15;9569;7.98;505827;62.06
147;12;KABUPATEN INDRAMAYU;2017;-6.327234;108.322903;13.67;8.64;9014;5.97;746020;63.33
148;13;KABUPATEN SUBANG;2017;-6.571549;107.762495;10.77;8.74;10206;6.83;724308;66.6
149;14;KABUPATEN PURWAKARTA;2017;-6.551701;107.446541;9.06;9.11;10941;7.74;392747;63.16
150;15;KABUPATEN KARAWANG;2017;-6.301721;107.30529;10.25;9.55;10703;7.34;1010828;64.94
151;16;KABUPATEN BEKASI;2017;-6.364614;107.172509;4.73;10.97;10790;8.82;1399743;61.26
152;17;KABUPATEN BANDUNG BARAT;2017;-6.840651;107.512302;11.49;9.33;8002;7.74;671847;61.73
153;18;KABUPATEN PANGANDARAN;2017;-7.701397;108.495155;10;3.34;8588;7.37;235561;79.88
154;19;KOTA BOGOR;2017;-6.594946;106.794913;7.11;9.57;10940;10.29;448386;61.13
155;20;KOTA SUKABUMI;2017;-6.918366;106.931496;8.48;8;10188;9.52;130909;59.24
156;21;KOTA BANDUNG;2017;-6.910786;107.609757;4.17;8.44;16033;10.59;1116529;63.11
157;22;KOTA CIREBON;2017;-6.707076;108.557818;9.66;9.29;11100;9.88;142246;66.45
158;23;KOTA BEKASI;2017;-6.236221;106.994293;4.79;9.32;15378;10.93;1266692;64.35
159;24;KOTA DEPOK;2017;-6.394473;106.822692;2.34;7;14727;10.84;1009401;64.04
160;25;KOTA CIMAHI;2017;-6.87121;107.555486;5.76;8.43;11353;10.93;272017;65.33
161;26;KOTA TASIKMALAYA;2017;-7.316436;108.1971;14.8;6.89;9497;9.03;290396;63.88
162;27;KOTA BANJAR;2017;-7.362487;108.55887;7.06;5.97;9987;8.59;84032;64.78
